kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 127 : 24576 271255 0 0 0 0 0 0 0 
_1.ptx 126 : 24576 1281409 0 0 0 7435 4670 0 0 
_1.ptx 125 : 24576 1437223 0 0 0 7435 4670 0 0 
_1.ptx 123 : 24576 247158 0 0 0 0 0 0 0 
_1.ptx 119 : 7692 319034 32 0 0 3143 3143 0 0 
_1.ptx 117 : 7692 361113 0 0 0 7602 3143 0 0 
_1.ptx 116 : 7692 84835 0 0 0 0 0 0 0 
_1.ptx 114 : 7692 268339 4448 0 0 7602 3143 0 0 
_1.ptx 113 : 7692 84919 0 0 0 0 0 0 0 
_1.ptx 112 : 7692 54776 0 0 0 0 0 0 0 
_1.ptx 111 : 7692 77427 0 0 0 0 0 0 0 
_1.ptx 110 : 7692 755222 128 0 0 3143 3143 0 0 
_1.ptx 107 : 24576 102188 0 0 0 0 0 0 1950 
_1.ptx 105 : 24576 197817 0 0 0 0 0 0 0 
_1.ptx 104 : 24576 174011 0 0 0 0 0 0 0 
_1.ptx 103 : 24576 149236 0 0 0 0 0 0 0 
_1.ptx 102 : 24576 174017 0 0 0 0 0 0 0 
_1.ptx 98 : 24576 1864846 3968 0 0 23723 4670 0 0 
_1.ptx 52 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 51 : 32768 265280 0 0 0 0 0 0 0 
_1.ptx 49 : 32768 369888 0 0 0 0 0 0 0 
_1.ptx 96 : 24576 3130013 98304 0 0 14768 4670 0 0 
_1.ptx 48 : 32768 206880 0 0 0 0 0 0 0 
_1.ptx 46 : 32768 247872 0 0 0 0 0 0 0 
_1.ptx 93 : 24576 247575 0 0 0 0 0 0 0 
_1.ptx 45 : 32768 209792 0 0 0 0 0 0 0 
_1.ptx 43 : 32768 244352 0 0 0 0 0 0 0 
_1.ptx 42 : 32768 237856 0 0 0 0 0 0 0 
_1.ptx 89 : 4096 45105 0 0 0 0 0 0 0 
_1.ptx 41 : 32768 239488 0 0 0 0 0 0 0 
_1.ptx 88 : 4096 28694 0 0 0 0 0 0 0 
_1.ptx 54 : 32768 233984 0 0 0 0 0 0 0 
_1.ptx 128 : 24576 197725 0 0 0 0 0 0 0 
_1.ptx 31 : 32768 880768 128 0 0 0 0 0 0 
_1.ptx 55 : 32768 363904 0 0 0 0 0 0 0 
_1.ptx 129 : 24576 123648 0 0 0 0 0 0 1791 
_1.ptx 32 : 32768 872768 0 0 0 0 0 0 0 
_1.ptx 79 : 4096 1071117 32768 0 0 943 550 0 0 
_1.ptx 56 : 32768 5058336 4096 0 0 1024 1024 0 0 
_1.ptx 33 : 32768 805184 0 0 0 0 0 0 0 
_1.ptx 34 : 32768 804416 0 0 0 0 0 0 0 
_1.ptx 81 : 4096 1069025 0 0 0 943 550 0 0 
_1.ptx 35 : 32768 703904 0 0 0 0 0 0 0 
_1.ptx 83 : 4096 45098 0 0 0 0 0 0 0 
_1.ptx 37 : 32768 601696 0 0 0 0 0 0 0 
_1.ptx 84 : 4096 32857 0 0 0 0 0 0 0 
_1.ptx 38 : 32768 235808 0 0 0 0 0 0 0 
_1.ptx 85 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 39 : 32768 238112 0 0 0 0 0 0 0 
_1.ptx 36 : 32768 602240 0 0 0 0 0 0 0 
_1.ptx 133 : 32768 197632 0 0 0 0 0 0 0 
_1.ptx 40 : 32768 240096 0 0 0 0 0 0 0 
_1.ptx 60 : 32768 239680 0 0 0 0 0 0 0 
_1.ptx 61 : 32768 208448 0 0 0 0 0 0 0 
_1.ptx 62 : 32768 238656 0 0 0 0 0 0 0 
_1.ptx 63 : 32768 268640 0 0 0 0 0 0 0 
_1.ptx 65 : 32768 174521 0 0 0 0 0 0 550 
_1.ptx 67 : 4096 25399 0 0 0 0 0 0 0 
_1.ptx 69 : 4096 23616 0 0 0 550 550 0 0 
_1.ptx 71 : 4096 45979 0 0 0 0 0 0 0 
_1.ptx 72 : 4096 25519 0 0 0 0 0 0 0 
_1.ptx 74 : 4096 23814 32 0 0 550 550 0 0 
_1.ptx 76 : 4096 29618 0 0 0 0 0 0 0 
_1.ptx 77 : 4096 45678 0 0 0 0 0 0 0 
_1.ptx 94 : 24576 272200 0 0 0 0 0 0 0 
_1.ptx 97 : 24576 271071 0 0 0 0 0 0 0 
