kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1889 : 256 564 0 0 0 0 0 0 19 
_1.ptx 1888 : 256 1855 0 0 0 0 0 0 0 
_1.ptx 1886 : 256 2560 0 0 0 0 0 0 0 
_1.ptx 1885 : 256 2569 0 0 0 0 0 0 0 
_1.ptx 1884 : 256 2361 0 0 0 0 0 0 0 
_1.ptx 1883 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 1882 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 1881 : 256 2058 0 0 0 0 0 0 0 
_1.ptx 1880 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 1879 : 256 5937 0 0 0 0 0 0 0 
_1.ptx 1878 : 256 2773 0 0 0 0 0 0 0 
_1.ptx 1876 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 1875 : 256 2566 0 0 0 0 0 0 0 
_1.ptx 1874 : 256 2560 0 0 0 0 0 0 0 
_1.ptx 1871 : 162 1782 0 0 0 0 0 0 0 
_1.ptx 1870 : 162 1632 0 0 0 0 0 0 0 
_1.ptx 1852 : 997 8103 0 0 0 0 0 0 0 
_1.ptx 1845 : 997 22049 0 0 0 0 0 0 0 
_1.ptx 1843 : 997 9023 0 0 0 0 0 0 0 
_1.ptx 1841 : 997 11708 0 0 0 0 0 0 0 
_1.ptx 1834 : 997 7747 0 0 0 0 0 0 0 
_1.ptx 1832 : 997 11419 0 0 0 0 0 0 0 
_1.ptx 1831 : 997 9195 0 0 0 0 0 0 0 
_1.ptx 1828 : 997 11259 0 0 0 0 0 0 0 
_1.ptx 1824 : 814 4100 0 0 0 0 0 0 0 
_1.ptx 1815 : 814 8993 0 0 0 0 0 0 0 
_1.ptx 1754 : 814 6513 0 0 0 0 0 0 0 
_1.ptx 1753 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1751 : 814 5823 0 0 0 0 0 0 0 
_1.ptx 1749 : 814 5779 0 0 0 0 0 0 0 
_1.ptx 1745 : 814 7355 0 0 0 0 0 0 0 
_1.ptx 1740 : 814 4915 0 0 0 0 0 0 0 
_1.ptx 1739 : 814 6676 0 0 0 0 0 0 0 
_1.ptx 1737 : 814 7331 0 0 0 0 0 0 0 
_1.ptx 1736 : 814 5782 0 0 0 0 0 0 0 
_1.ptx 1734 : 814 6618 0 0 0 0 0 0 0 
_1.ptx 1733 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1731 : 814 8983 0 0 0 0 0 0 0 
_1.ptx 1729 : 814 33284 0 0 0 0 0 0 0 
_1.ptx 1727 : 814 8140 0 0 0 0 0 0 0 
_1.ptx 1725 : 814 18862 0 0 0 0 0 0 0 
_1.ptx 1723 : 814 8140 0 0 0 0 0 0 0 
_1.ptx 1721 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1719 : 814 4884 0 0 0 0 0 0 0 
_1.ptx 1718 : 814 7424 0 0 0 0 0 0 0 
_1.ptx 1716 : 814 5041 0 0 0 0 0 0 0 
_1.ptx 1715 : 814 5797 0 0 0 0 0 0 0 
_1.ptx 1713 : 814 8716 0 0 0 0 0 0 0 
_1.ptx 1711 : 814 7463 0 0 0 0 0 0 0 
_1.ptx 1710 : 814 7407 0 0 0 0 0 0 0 
_1.ptx 1709 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1705 : 814 8140 0 0 0 0 0 0 0 
_1.ptx 1699 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1697 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1691 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1687 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1685 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1675 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1672 : 814 8986 0 0 0 0 0 0 0 
_1.ptx 1670 : 814 8959 0 0 0 0 0 0 0 
_1.ptx 1668 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1655 : 814 8972 0 0 0 0 0 0 0 
_1.ptx 1653 : 814 8995 0 0 0 0 0 0 0 
_1.ptx 1648 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1642 : 814 7384 0 0 0 0 0 0 0 
_1.ptx 1638 : 814 6674 0 0 0 0 0 0 0 
_1.ptx 1636 : 814 9172 0 0 0 0 0 0 0 
_1.ptx 1631 : 814 5703 0 0 0 0 0 0 0 
_1.ptx 1629 : 814 5784 0 0 0 0 0 0 0 
_1.ptx 1591 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1588 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1581 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1579 : 814 5730 0 0 0 0 0 0 0 
_1.ptx 1576 : 814 8185 0 0 0 0 0 0 0 
_1.ptx 1574 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1570 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1559 : 814 4904 0 0 0 0 0 0 0 
_1.ptx 1549 : 814 0 0 0 0 0 0 0 0 
_1.ptx 1544 : 814 5701 0 0 0 0 0 0 0 
_1.ptx 1531 : 814 6512 0 0 0 0 0 0 0 
_1.ptx 1528 : 814 0 0 0 0 0 0 0 0 
_1.ptx 1522 : 814 0 0 0 0 0 0 0 0 
_1.ptx 1520 : 814 6531 0 0 0 0 0 0 0 
_1.ptx 1519 : 814 5700 0 0 0 0 0 0 0 
_1.ptx 1516 : 814 0 0 0 0 0 0 0 0 
_1.ptx 1515 : 814 5794 0 0 0 0 0 0 0 
_1.ptx 1513 : 814 16280 0 0 0 0 0 0 0 
_1.ptx 1511 : 814 16550 0 0 0 0 0 0 0 
_1.ptx 1509 : 814 7331 0 0 0 0 0 0 0 
_1.ptx 1508 : 814 7388 0 0 0 0 0 0 0 
_1.ptx 1507 : 814 9017 0 0 0 0 0 0 0 
_1.ptx 1505 : 814 4830 0 0 0 0 0 0 0 
_1.ptx 1504 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1503 : 814 222161 7424 0 0 0 0 0 0 
_1.ptx 1502 : 814 4075 0 0 0 0 0 0 0 
_1.ptx 1501 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1500 : 814 217487 7424 0 0 0 0 0 0 
_1.ptx 1499 : 814 4079 0 0 0 0 0 0 0 
_1.ptx 1498 : 814 7326 0 0 0 0 0 0 0 
