kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 127 : 24576 271291 0 0 0 0 0 0 0 
_1.ptx 126 : 24576 1216820 0 0 0 7435 4670 0 0 
_1.ptx 125 : 24576 1361549 0 0 0 7435 4670 0 0 
_1.ptx 123 : 24576 247344 0 0 0 0 0 0 0 
_1.ptx 119 : 7692 313261 32 0 0 3143 3143 0 0 
_1.ptx 117 : 7692 374731 0 0 0 7602 3143 0 0 
_1.ptx 116 : 7692 84850 0 0 0 0 0 0 0 
_1.ptx 114 : 7692 272306 4384 0 0 7602 3143 0 0 
_1.ptx 113 : 7692 84917 0 0 0 0 0 0 0 
_1.ptx 112 : 7692 55048 0 0 0 0 0 0 0 
_1.ptx 111 : 7692 77519 0 0 0 0 0 0 0 
_1.ptx 110 : 7692 760773 128 0 0 3143 3143 0 0 
_1.ptx 107 : 24576 102019 0 0 0 0 0 0 1950 
_1.ptx 105 : 24576 197726 0 0 0 0 0 0 0 
_1.ptx 104 : 24576 173959 0 0 0 0 0 0 0 
_1.ptx 103 : 24576 149065 0 0 0 0 0 0 0 
_1.ptx 102 : 24576 173560 0 0 0 0 0 0 0 
_1.ptx 98 : 24576 1853799 3968 0 0 23723 4670 0 0 
_1.ptx 52 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 51 : 32768 268544 0 0 0 0 0 0 0 
_1.ptx 49 : 32768 364768 0 0 0 0 0 0 0 
_1.ptx 96 : 24576 3257104 98304 0 0 14768 4670 0 0 
_1.ptx 48 : 32768 218560 0 0 0 0 0 0 0 
_1.ptx 46 : 32768 238112 0 0 0 0 0 0 0 
_1.ptx 93 : 24576 247878 0 0 0 0 0 0 0 
_1.ptx 45 : 32768 201664 0 0 0 0 0 0 0 
_1.ptx 43 : 32768 240544 0 0 0 0 0 0 0 
_1.ptx 42 : 32768 240448 0 0 0 0 0 0 0 
_1.ptx 89 : 4096 45214 0 0 0 0 0 0 0 
_1.ptx 41 : 32768 235936 0 0 0 0 0 0 0 
_1.ptx 88 : 4096 28807 0 0 0 0 0 0 0 
_1.ptx 54 : 32768 235264 0 0 0 0 0 0 0 
_1.ptx 128 : 24576 197639 0 0 0 0 0 0 0 
_1.ptx 31 : 32768 1113568 128 0 0 0 0 0 0 
_1.ptx 55 : 32768 362400 0 0 0 0 0 0 0 
_1.ptx 129 : 24576 123802 0 0 0 0 0 0 1791 
_1.ptx 32 : 32768 1043712 0 0 0 0 0 0 0 
_1.ptx 79 : 4096 1164425 32768 0 0 943 550 0 0 
_1.ptx 56 : 32768 5064736 4096 0 0 1024 1024 0 0 
_1.ptx 33 : 32768 740384 0 0 0 0 0 0 0 
_1.ptx 34 : 32768 630496 0 0 0 0 0 0 0 
_1.ptx 81 : 4096 1145248 0 0 0 943 550 0 0 
_1.ptx 35 : 32768 607008 0 0 0 0 0 0 0 
_1.ptx 83 : 4096 45122 0 0 0 0 0 0 0 
_1.ptx 37 : 32768 567808 0 0 0 0 0 0 0 
_1.ptx 84 : 4096 32925 0 0 0 0 0 0 0 
_1.ptx 38 : 32768 233248 0 0 0 0 0 0 0 
_1.ptx 85 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 39 : 32768 236320 0 0 0 0 0 0 0 
_1.ptx 36 : 32768 567808 0 0 0 0 0 0 0 
_1.ptx 133 : 32768 198144 0 0 0 0 0 0 0 
_1.ptx 40 : 32768 246624 0 0 0 0 0 0 0 
_1.ptx 60 : 32768 230208 0 0 0 0 0 0 0 
_1.ptx 61 : 32768 205408 0 0 0 0 0 0 0 
_1.ptx 62 : 32768 238048 0 0 0 0 0 0 0 
_1.ptx 63 : 32768 270016 0 0 0 0 0 0 0 
_1.ptx 65 : 32768 177739 0 0 0 0 0 0 550 
_1.ptx 67 : 4096 26329 0 0 0 0 0 0 0 
_1.ptx 69 : 4096 22204 0 0 0 550 550 0 0 
_1.ptx 71 : 4096 45728 0 0 0 0 0 0 0 
_1.ptx 72 : 4096 26671 0 0 0 0 0 0 0 
_1.ptx 74 : 4096 25504 32 0 0 550 550 0 0 
_1.ptx 76 : 4096 29636 0 0 0 0 0 0 0 
_1.ptx 77 : 4096 45261 0 0 0 0 0 0 0 
_1.ptx 94 : 24576 271921 0 0 0 0 0 0 0 
_1.ptx 97 : 24576 271138 0 0 0 0 0 0 0 
