kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1889 : 256 564 0 0 0 0 0 0 19 
_1.ptx 1888 : 256 1857 0 0 0 0 0 0 0 
_1.ptx 1886 : 256 2560 0 0 0 0 0 0 0 
_1.ptx 1885 : 256 2566 0 0 0 0 0 0 0 
_1.ptx 1884 : 256 2384 0 0 0 0 0 0 0 
_1.ptx 1883 : 256 2051 0 0 0 0 0 0 0 
_1.ptx 1882 : 256 2049 0 0 0 0 0 0 0 
_1.ptx 1881 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 1880 : 256 2054 0 0 0 0 0 0 0 
_1.ptx 1879 : 256 5937 0 0 0 0 0 0 0 
_1.ptx 1878 : 256 2773 0 0 0 0 0 0 0 
_1.ptx 1876 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 1875 : 256 2560 0 0 0 0 0 0 0 
_1.ptx 1874 : 256 2560 0 0 0 0 0 0 0 
_1.ptx 1871 : 162 1782 0 0 0 0 0 0 0 
_1.ptx 1870 : 162 1653 0 0 0 0 0 0 0 
_1.ptx 1852 : 997 8040 0 0 0 0 0 0 0 
_1.ptx 1845 : 997 21303 0 0 0 0 0 0 0 
_1.ptx 1843 : 997 9120 0 0 0 0 0 0 0 
_1.ptx 1841 : 997 11426 0 0 0 0 0 0 0 
_1.ptx 1834 : 997 7909 0 0 0 0 0 0 0 
_1.ptx 1832 : 997 11588 0 0 0 0 0 0 0 
_1.ptx 1831 : 997 9069 0 0 0 0 0 0 0 
_1.ptx 1828 : 997 10993 0 0 0 0 0 0 0 
_1.ptx 1824 : 814 4070 0 0 0 0 0 0 0 
_1.ptx 1815 : 814 9235 0 0 0 0 0 0 0 
_1.ptx 1754 : 814 6513 0 0 0 0 0 0 0 
_1.ptx 1753 : 814 5730 0 0 0 0 0 0 0 
_1.ptx 1751 : 814 5807 0 0 0 0 0 0 0 
_1.ptx 1749 : 814 5784 0 0 0 0 0 0 0 
_1.ptx 1745 : 814 7389 0 0 0 0 0 0 0 
_1.ptx 1740 : 814 4884 0 0 0 0 0 0 0 
_1.ptx 1739 : 814 6741 0 0 0 0 0 0 0 
_1.ptx 1737 : 814 7409 0 0 0 0 0 0 0 
_1.ptx 1736 : 814 5729 0 0 0 0 0 0 0 
_1.ptx 1734 : 814 6703 0 0 0 0 0 0 0 
_1.ptx 1733 : 814 5730 0 0 0 0 0 0 0 
_1.ptx 1731 : 814 9016 0 0 0 0 0 0 0 
_1.ptx 1729 : 814 33625 0 0 0 0 0 0 0 
_1.ptx 1727 : 814 8172 0 0 0 0 0 0 0 
_1.ptx 1725 : 814 18821 0 0 0 0 0 0 0 
_1.ptx 1723 : 814 8140 0 0 0 0 0 0 0 
_1.ptx 1721 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1719 : 814 4939 0 0 0 0 0 0 0 
_1.ptx 1718 : 814 7498 0 0 0 0 0 0 0 
_1.ptx 1716 : 814 5141 0 0 0 0 0 0 0 
_1.ptx 1715 : 814 5770 0 0 0 0 0 0 0 
_1.ptx 1713 : 814 8614 0 0 0 0 0 0 0 
_1.ptx 1711 : 814 7418 0 0 0 0 0 0 0 
_1.ptx 1710 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1709 : 814 9048 0 0 0 0 0 0 0 
_1.ptx 1705 : 814 8140 0 0 0 0 0 0 0 
_1.ptx 1699 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1697 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1691 : 814 7354 0 0 0 0 0 0 0 
_1.ptx 1687 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1685 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1675 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1672 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1670 : 814 8991 0 0 0 0 0 0 0 
_1.ptx 1668 : 814 8987 0 0 0 0 0 0 0 
_1.ptx 1655 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1653 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1648 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1642 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1638 : 814 6486 0 0 0 0 0 0 0 
_1.ptx 1636 : 814 9315 0 0 0 0 0 0 0 
_1.ptx 1631 : 814 5826 0 0 0 0 0 0 0 
_1.ptx 1629 : 814 5730 0 0 0 0 0 0 0 
_1.ptx 1591 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1588 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1581 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1579 : 814 5723 0 0 0 0 0 0 0 
_1.ptx 1576 : 814 8175 0 0 0 0 0 0 0 
_1.ptx 1574 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1570 : 814 5698 0 0 0 0 0 0 0 
_1.ptx 1559 : 814 4884 0 0 0 0 0 0 0 
_1.ptx 1549 : 814 0 0 0 0 0 0 0 0 
_1.ptx 1544 : 814 5710 0 0 0 0 0 0 0 
_1.ptx 1531 : 814 6512 0 0 0 0 0 0 0 
_1.ptx 1528 : 814 0 0 0 0 0 0 0 0 
_1.ptx 1522 : 814 0 0 0 0 0 0 0 0 
_1.ptx 1520 : 814 6617 0 0 0 0 0 0 0 
_1.ptx 1519 : 814 5765 0 0 0 0 0 0 0 
_1.ptx 1516 : 814 0 0 0 0 0 0 0 0 
_1.ptx 1515 : 814 5705 0 0 0 0 0 0 0 
_1.ptx 1513 : 814 16280 0 0 0 0 0 0 0 
_1.ptx 1511 : 814 16375 0 0 0 0 0 0 0 
_1.ptx 1509 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1508 : 814 7354 0 0 0 0 0 0 0 
_1.ptx 1507 : 814 9046 0 0 0 0 0 0 0 
_1.ptx 1505 : 814 4612 0 0 0 0 0 0 0 
_1.ptx 1504 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1503 : 814 222094 7424 0 0 0 0 0 0 
_1.ptx 1502 : 814 4071 0 0 0 0 0 0 0 
_1.ptx 1501 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1500 : 814 217694 7424 0 0 0 0 0 0 
_1.ptx 1499 : 814 4109 0 0 0 0 0 0 0 
_1.ptx 1498 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1497 : 814 228199 7424 0 0 0 0 0 0 
_1.ptx 1496 : 814 4070 0 0 0 0 0 0 0 
_1.ptx 1495 : 814 7326 0 0 0 0 0 0 0 
_1.ptx 1494 : 814 125154 0 0 0 0 0 0 0 
_1.ptx 1492 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1491 : 814 12412 0 0 0 0 0 0 0 
_1.ptx 1490 : 814 9409 0 0 0 0 0 0 0 
_1.ptx 1489 : 814 9830 0 0 0 0 0 0 0 
_1.ptx 1488 : 814 9603 0 0 0 0 0 0 0 
_1.ptx 1487 : 814 9314 0 0 0 0 0 0 0 
_1.ptx 1485 : 814 16538 0 0 0 0 0 0 0 
_1.ptx 1483 : 814 8973 0 0 0 0 0 0 0 
_1.ptx 1482 : 814 8954 0 0 0 0 0 0 0 
_1.ptx 1481 : 814 9016 0 0 0 0 0 0 0 
_1.ptx 1479 : 814 12865 0 0 0 0 0 0 0 
_1.ptx 1477 : 814 7357 0 0 0 0 0 0 0 
_1.ptx 1476 : 814 8990 0 0 0 0 0 0 0 
_1.ptx 1475 : 814 7357 0 0 0 0 0 0 0 
_1.ptx 1474 : 814 9215 0 0 0 0 0 0 0 
_1.ptx 1473 : 814 8961 0 0 0 0 0 0 0 
_1.ptx 1472 : 814 8993 0 0 0 0 0 0 0 
_1.ptx 1469 : 910 578 0 0 0 0 0 0 21 
_1.ptx 1468 : 910 6542 0 0 0 0 0 0 0 
_1.ptx 1447 : 96 0 0 0 0 0 0 0 0 
_1.ptx 1446 : 96 792 0 0 0 0 0 0 0 
_1.ptx 1445 : 96 900 0 0 0 0 0 0 0 
_1.ptx 1444 : 96 888 0 0 0 0 0 0 0 
_1.ptx 1443 : 96 1085 0 0 0 0 0 0 0 
_1.ptx 1442 : 96 871 0 0 0 0 0 0 0 
_1.ptx 1441 : 96 877 0 0 0 0 0 0 0 
_1.ptx 1440 : 96 877 0 0 0 0 0 0 0 
_1.ptx 1429 : 96 580 0 0 0 0 0 0 0 
_1.ptx 1428 : 96 1068 0 0 0 0 0 0 0 
_1.ptx 1427 : 96 867 0 0 0 0 0 0 0 
_1.ptx 1426 : 96 684 0 0 0 0 0 0 0 
_1.ptx 1425 : 96 1446 0 0 0 0 0 0 0 
_1.ptx 1423 : 96 1066 0 0 0 0 0 0 0 
_1.ptx 1420 : 1826 10419 0 0 0 0 0 0 26 
_1.ptx 1419 : 1826 14836 0 0 0 0 0 0 0 
_1.ptx 1417 : 1826 16434 0 0 0 0 0 0 0 
_1.ptx 1416 : 1826 13018 0 0 0 0 0 0 0 
