kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 127 : 24576 271283 0 0 0 0 0 0 0 
_1.ptx 126 : 24576 1218971 0 0 0 7435 4670 0 0 
_1.ptx 125 : 24576 1370026 0 0 0 7435 4670 0 0 
_1.ptx 123 : 24576 246964 0 0 0 0 0 0 0 
_1.ptx 119 : 7692 315607 32 0 0 3143 3143 0 0 
_1.ptx 117 : 7692 364085 0 0 0 7602 3143 0 0 
_1.ptx 116 : 7692 84830 0 0 0 0 0 0 0 
_1.ptx 114 : 7692 269342 4416 0 0 7602 3143 0 0 
_1.ptx 113 : 7692 84896 0 0 0 0 0 0 0 
_1.ptx 112 : 7692 54770 0 0 0 0 0 0 0 
_1.ptx 111 : 7692 77457 0 0 0 0 0 0 0 
_1.ptx 110 : 7692 726021 128 0 0 3143 3143 0 0 
_1.ptx 107 : 24576 102196 0 0 0 0 0 0 1950 
_1.ptx 105 : 24576 197848 0 0 0 0 0 0 0 
_1.ptx 104 : 24576 173686 0 0 0 0 0 0 0 
_1.ptx 103 : 24576 148830 0 0 0 0 0 0 0 
_1.ptx 102 : 24576 173752 0 0 0 0 0 0 0 
_1.ptx 98 : 24576 1824656 3968 0 0 23723 4670 0 0 
_1.ptx 52 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 51 : 32768 267040 0 0 0 0 0 0 0 
_1.ptx 49 : 32768 362944 0 0 0 0 0 0 0 
_1.ptx 96 : 24576 3298043 98304 0 0 14768 4670 0 0 
_1.ptx 48 : 32768 212736 0 0 0 0 0 0 0 
_1.ptx 46 : 32768 235424 0 0 0 0 0 0 0 
_1.ptx 93 : 24576 247876 0 0 0 0 0 0 0 
_1.ptx 45 : 32768 200544 0 0 0 0 0 0 0 
_1.ptx 43 : 32768 234880 0 0 0 0 0 0 0 
_1.ptx 42 : 32768 233696 0 0 0 0 0 0 0 
_1.ptx 89 : 4096 45151 0 0 0 0 0 0 0 
_1.ptx 41 : 32768 234496 0 0 0 0 0 0 0 
_1.ptx 88 : 4096 28869 0 0 0 0 0 0 0 
_1.ptx 54 : 32768 232736 0 0 0 0 0 0 0 
_1.ptx 128 : 24576 197537 0 0 0 0 0 0 0 
_1.ptx 31 : 32768 1132032 128 0 0 0 0 0 0 
_1.ptx 55 : 32768 362208 0 0 0 0 0 0 0 
_1.ptx 129 : 24576 123754 0 0 0 0 0 0 1791 
_1.ptx 32 : 32768 1026528 0 0 0 0 0 0 0 
_1.ptx 79 : 4096 1149309 32768 0 0 943 550 0 0 
_1.ptx 56 : 32768 4980704 4096 0 0 1024 1024 0 0 
_1.ptx 33 : 32768 723008 0 0 0 0 0 0 0 
_1.ptx 34 : 32768 620992 0 0 0 0 0 0 0 
_1.ptx 81 : 4096 1133803 0 0 0 943 550 0 0 
_1.ptx 35 : 32768 611936 0 0 0 0 0 0 0 
_1.ptx 83 : 4096 45154 0 0 0 0 0 0 0 
_1.ptx 37 : 32768 567968 0 0 0 0 0 0 0 
_1.ptx 84 : 4096 32902 0 0 0 0 0 0 0 
_1.ptx 38 : 32768 233376 0 0 0 0 0 0 0 
_1.ptx 85 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 39 : 32768 234784 0 0 0 0 0 0 0 
_1.ptx 36 : 32768 591904 0 0 0 0 0 0 0 
_1.ptx 133 : 32768 198208 0 0 0 0 0 0 0 
_1.ptx 40 : 32768 241632 0 0 0 0 0 0 0 
_1.ptx 60 : 32768 236096 0 0 0 0 0 0 0 
_1.ptx 61 : 32768 203200 0 0 0 0 0 0 0 
_1.ptx 62 : 32768 234944 0 0 0 0 0 0 0 
_1.ptx 63 : 32768 267008 0 0 0 0 0 0 0 
_1.ptx 65 : 32768 176527 0 0 0 0 0 0 550 
_1.ptx 67 : 4096 25675 0 0 0 0 0 0 0 
_1.ptx 69 : 4096 22615 0 0 0 550 550 0 0 
_1.ptx 71 : 4096 46040 0 0 0 0 0 0 0 
_1.ptx 72 : 4096 25976 0 0 0 0 0 0 0 
_1.ptx 74 : 4096 23474 32 0 0 550 550 0 0 
_1.ptx 76 : 4096 29574 0 0 0 0 0 0 0 
_1.ptx 77 : 4096 45382 0 0 0 0 0 0 0 
_1.ptx 94 : 24576 272219 0 0 0 0 0 0 0 
_1.ptx 97 : 24576 271289 0 0 0 0 0 0 0 
