kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 143 : 32768 202944 0 0 0 0 0 0 0 
_2.ptx 141 : 32768 858560 0 0 0 2048 1024 0 0 
_2.ptx 140 : 32768 365664 0 0 0 0 0 0 0 
_2.ptx 139 : 32768 10475296 0 0 0 2048 1024 0 0 
_2.ptx 137 : 32768 1047616 0 0 0 2048 1024 0 0 
_2.ptx 136 : 32768 364672 0 0 0 0 0 0 0 
_2.ptx 135 : 32768 13375968 262144 0 0 2048 1024 0 0 
_2.ptx 134 : 32768 366368 0 0 0 0 0 0 0 
_2.ptx 133 : 32768 615040 0 0 0 0 0 0 0 
_2.ptx 132 : 32768 245152 0 0 0 0 0 0 0 
_2.ptx 131 : 32768 365984 0 0 0 0 0 0 0 
_2.ptx 130 : 32768 285664 0 0 0 0 0 0 0 
_2.ptx 129 : 32768 650560 0 0 0 0 0 0 0 
_2.ptx 128 : 32768 748960 0 0 0 0 0 0 0 
_2.ptx 127 : 32768 271872 0 0 0 0 0 0 0 
_2.ptx 126 : 32768 208160 0 0 0 0 0 0 0 
_2.ptx 115 : 32768 212224 0 0 0 0 0 0 0 
_2.ptx 114 : 6553600 42270848 0 0 0 0 0 0 0 
_2.ptx 113 : 6553600 55441952 0 0 0 0 0 0 0 
_2.ptx 82 : 32768 258912 0 0 0 0 0 0 0 
_2.ptx 81 : 32768 287648 0 0 0 0 0 0 0 
_2.ptx 80 : 32768 387712 0 0 0 0 0 0 0 
_2.ptx 79 : 32768 383104 0 0 0 0 0 0 0 
_2.ptx 78 : 32768 811872 0 0 0 0 0 0 0 
_2.ptx 77 : 32768 376224 0 0 0 0 0 0 0 
_2.ptx 76 : 32768 222688 0 0 0 0 0 0 0 
_2.ptx 75 : 32768 106272 0 0 0 0 0 0 0 
_2.ptx 74 : 32768 283168 0 0 0 0 0 0 0 
_2.ptx 73 : 32768 279456 0 0 0 0 0 0 0 
_2.ptx 72 : 32768 256960 0 0 0 0 0 0 0 
_2.ptx 71 : 32768 103360 0 0 0 0 0 0 0 
_2.ptx 61 : 32768 211808 0 0 0 0 0 0 0 
_2.ptx 108 : 6553600 68084416 0 0 0 0 0 0 0 
_2.ptx 62 : 32768 213920 0 0 0 0 0 0 0 
_2.ptx 109 : 6553600 68254336 0 0 0 0 0 0 0 
_2.ptx 63 : 32768 213792 0 0 0 0 0 0 0 
_2.ptx 64 : 32768 215040 0 0 0 0 0 0 0 
_2.ptx 111 : 6553600 21821888 0 0 0 0 0 0 0 
_2.ptx 65 : 32768 216032 0 0 0 0 0 0 0 
_2.ptx 66 : 32768 214624 0 0 0 0 0 0 0 
_2.ptx 67 : 32768 3703392 128 0 0 0 0 0 0 
_2.ptx 68 : 32768 210848 0 0 0 0 0 0 0 
_2.ptx 69 : 32768 275584 0 0 0 0 0 0 0 
_2.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_2.ptx 83 : 32768 280064 0 0 0 0 0 0 0 
_2.ptx 84 : 32768 389280 0 0 0 0 0 0 0 
_2.ptx 85 : 32768 391840 0 0 0 0 0 0 0 
_2.ptx 86 : 32768 253888 0 0 0 0 0 0 0 
_2.ptx 87 : 32768 251456 0 0 0 0 0 0 0 
_2.ptx 88 : 32768 247008 0 0 0 0 0 0 0 
_2.ptx 89 : 32768 273568 0 0 0 0 0 0 0 
_2.ptx 93 : 6553600 52625888 3200 0 0 0 0 0 0 
_2.ptx 94 : 6553600 52899296 0 0 0 0 0 0 0 
_2.ptx 95 : 6553600 52100192 0 0 0 0 0 0 0 
_2.ptx 96 : 6553600 50745088 0 0 0 0 0 0 0 
_2.ptx 97 : 6553600 74112160 0 0 0 0 0 0 0 
_2.ptx 98 : 6553600 74456544 0 0 0 0 0 0 0 
_2.ptx 99 : 6553600 86517984 0 0 0 0 0 0 0 
_2.ptx 100 : 6553600 86581312 0 0 0 0 0 0 0 
_2.ptx 101 : 6553600 302069280 0 0 0 0 0 0 0 
_2.ptx 102 : 6553600 85889088 0 0 0 0 0 0 0 
_2.ptx 104 : 6553600 73775360 0 0 0 0 0 0 0 
_2.ptx 105 : 6553600 85937120 0 0 0 0 0 0 0 
_2.ptx 106 : 6553600 295604640 0 0 0 0 0 0 0 
_2.ptx 107 : 6553600 86133056 0 0 0 0 0 0 0 
